2017-08-09 09:39:37.190 -0700	START		Running US-Gear-05.script
2017-08-09 09:39:37.453 -0700	doubleclick	M3/Login/InforShortcut	at (39, 464)	2	on_openapplication	M3/Login.script
2017-08-09 09:40:08.732 -0700	click	ItemField	at (146, 633)	2	on_enteritemcode	M3/ItemOrderLine.script
2017-08-09 09:40:09.526 -0700	typetext		TB7SX6CC	3	on_enteritemcode	M3/ItemOrderLine.script
2017-08-09 09:40:10.238 -0700	typetext		[return]	5	on_enteritemcode	M3/ItemOrderLine.script
2017-08-09 09:40:11.912 -0700	click	ItemColorField	at (171, 407)	2	on_enteritemcolor	M3/ItemOrderLine.script
2017-08-09 09:40:12.623 -0700	typetext		1	3	on_enteritemcolor	M3/ItemOrderLine.script
2017-08-09 09:40:13.420 -0700	click	ConfiqStyleButton	at (318, 302)	4	on_enteritemcolor	M3/ItemOrderLine.script
2017-08-09 09:40:46.816 -0700	LogWarning	NumApplicationsButton	Timing Problem: Increase search time in script for this search
2017-08-09 09:40:46.945 -0700	click	NumApplicationsButton	at (803, 225)	2	on_configuratora	M3/ItemOrderLine.script
2017-08-09 09:40:48.430 -0700	click	LocationButton	at (804, 227)	3	on_configuratora	M3/ItemOrderLine.script
2017-08-09 09:40:49.590 -0700	click	PersonalizationButton	at (803, 251)	4	on_configuratora	M3/ItemOrderLine.script
2017-08-09 09:40:50.413 -0700	click	PersonalizationTextButton	at (352, 325)	5	on_configuratora	M3/ItemOrderLine.script
2017-08-09 09:40:51.123 -0700	typetext		[return]	6	on_configuratora	M3/ItemOrderLine.script
2017-08-09 09:40:51.919 -0700	click	PersonalizationField	at (117, 213)	7	on_configuratora	M3/ItemOrderLine.script
2017-08-09 09:40:52.937 -0700	typetext		My Automated Personalization	8	on_configuratora	M3/ItemOrderLine.script
2017-08-09 09:40:53.769 -0700	click	PersonalizationNextButton	at (300, 618)	9	on_configuratora	M3/ItemOrderLine.script
2017-08-09 09:40:54.948 -0700	click	LetteringButton	at (806, 224)	10	on_configuratora	M3/ItemOrderLine.script
2017-08-09 09:40:55.745 -0700	click	ColorButton	at (803, 225)	11	on_configuratora	M3/ItemOrderLine.script
2017-08-09 09:40:56.534 -0700	click	OrderNotesButton	at (802, 227)	12	on_configuratora	M3/ItemOrderLine.script
2017-08-09 09:41:00.796 -0700	click	DoubleStrapButton	at (804, 224)	13	on_configuratora	M3/ItemOrderLine.script
2017-08-09 09:41:00.906 -0700	EndTestCase		(Duration:"83.711", Errors:"0", Exceptions:"0", StartTime:"2017-08-09 09:39:37 -0700", Successes:"1", TestCase:"US-Gear-05.script", Warnings:"1")
2017-08-09 09:41:01.015 -0700	SUCCESS		Execution Time 0:01:23 US-Gear-05.script
